LinkedNodeID,nid ( Content Page ID),Lang,title ( Content page title),H5Pcontent
7,16,en,Tuberculosis,6894
7,16,gu,Tuberculosis,
7,16,hi,Tuberculosis,6895
7,16,mr,Tuberculosis,6893
7,16,or,Tuberculosis,
7,16,ta,Tuberculosis,6896
7,16,te,Tuberculosis,6897
86,114,en,National TB Elimination Program [NTEP],7633
86,114,gu,National TB Elimination Program [NTEP],
86,114,hi,National TB Elimination Program [NTEP],7632
86,114,mr,National TB Elimination Program [NTEP],
86,114,ta,National TB Elimination Program [NTEP],7634
113,115,en,India's commitment to End TB,7253
113,115,mr,India's commitment to End TB,7252
113,115,te,India's commitment to End TB,7254
90,116,en,Evolution of TB Elimination Programme in India,7250
90,116,mr,Evolution of TB Elimination Programme in India,7249
90,116,te,Evolution of TB Elimination Programme in India,7251
18,117,en,Approaches to TB Case Finding,7416
18,117,mr,Approaches to TB Case Finding,7415
18,117,te,Approaches to TB Case Finding,7417
52,118,en,Passive Case Finding,7441
52,118,mr,Passive Case Finding,7440
52,118,te,Passive Case Finding,7442
92,128,en,TB Causative organism,6552
92,128,gu,TB Causative organism,
92,128,hi,TB Causative organism,6553
92,128,mr,TB Causative organism,
92,128,or,TB Causative organism,
92,128,ta,TB Causative organism,6554
92,128,te,TB Causative organism,6551
14,243,en,Discovery of Mycobacterium TB [M.tb],2658
148,244,en,Role of Medical Officer at and around a DMC in TB Diagnosis,6106
144,245,en,Sputum Collection centres,7404
144,245,mr,Sputum Collection centres,7403
144,245,te,Sputum Collection centres,7405
149,286,en,Role of Peripheral Health Care workers around a DMC in TB Care,3410
183,287,en,Common issues with Microscope that require technical support,2503
181,288,en,Storing a Microscope,1114
182,289,en,Cleaning a Microscope,2505
184,290,en,Annual Maintenance [AMC] of a Microscope,2506
163,291,en,Storing a sputum sample,1346
167,292,en,Air drying and heat fixing,1347
169,293,en,ZN Microscopy: Staining Process,993
155,294,en,Reporting results of Microscopy,4511
171,295,en,Fluorescent Microscopy: Staining Process,992
187,296,en,Indenting Supplies at a DMC,3823
74,297,en,Airborne Infection Control [AIC],4300
225,298,en,Ventilation as an AIC Measure,4307
226,299,en,Administrative measures for AIC at a Health Facility,3287
197,300,en,Need for Quality Testing and Control,4111
200,301,en,Panel Testing,3832
201,302,en,Onsite Evaluation[OSE],4759
202,303,en,OSE Feedback and action required,4761
203,304,en,Random Blinded ReChecking [RBRC] Concept,3362
204,305,en,Random Blinded ReChecking [RBRC] Process,4758
206,306,en,Random Blinded ReChecking [RBRC] Process at DTC,3365
219,307,en,The need for IPC,3517
77,308,en,Standard Precautions for IPC,3455
220,309,en,Hand Hygiene,4760
223,310,en,IPC practices required at a DMC,4299
221,311,en,Respiratory Hygiene,3400
236,312,en,Roles of various stakeholders in IPC,3417
7,313,en,Tuberculosis,
314,315,en,Nomenclature of Mycobacterium tuberculosis [M.tb],3465
316,319,en,Incidence of TB Disease,7244
316,319,mr,Incidence,7243
316,319,te,Incidence of TB Disease,7245
317,320,en,Prevalence of TB Disease,7247
317,320,mr,Prevalence,7246
317,320,te,Prevalence,7248
318,321,en,TB Notification rate,7581
318,321,te,Notification,7580
322,324,en,Sensitivity of a Test,3435
323,325,en,Specificity of a Test,3446
94,326,en,Risk Factors for TB Disease,274
94,326,mr,Risk Factors for TB Disease,
327,328,en,Exposure to TB Bacilli,4762
8,329,en,History of TB,
87,330,en,DOTS Strategy,3267
331,332,en,Positive and Negative predictive value for a test,1167
98,333,en,Natural History of TB,
334,337,en,Agent in TB,2570
335,338,en,Host factors in TB,2661
336,339,en,Environmental influences in TB,2571
96,340,en,Mode of TB Transmission,6548
96,340,gu,Mode of TB Transmission,
96,340,hi,Mode of TB Transmission,6549
96,340,mr,Mode of TB Transmission,
96,340,ta,Mode of TB Transmission,6550
96,340,te,Mode of TB Transmission,6547
341,342,en,Contacts of persons with TB,4763
343,344,en,Overcrowding,1168
346,349,en,Poor ventilation,5991
347,350,en,Poor host immunity,5968
129,351,en,Global Burden of TB,7571
129,351,mr,Global Burden of TB,7572
129,351,te,Global Burden of TB,7573
130,352,en,Burden of TB in India,7264
130,352,gu,Burden of TB in India,
130,352,hi,Burden of TB in India,7265
130,352,mr,Burden of TB in India,
130,352,or,Burden of TB in India,
130,352,ta,Burden of TB in India,7266
130,352,te,Burden of TB in India,7267
353,355,en,Global Burden of DR-TB,1171
356,357,en,Global Burden of TB-HIV,
97,358,en,Pathogenesis of TB,2569
359,360,en,Development of Drug Resistance in MTB,7422
22,361,en,Mandatory Notification of TB Diagnosis,6037
22,361,te,Mandatory Notification of TB Diagnosis,6036
362,363,en,Standards of TB Care in India,6098
362,363,te,Standards of TB Care in India,6097
91,364,en,National Strategic Plan [NSP] for TB Elimination 2017-25,7256
91,364,mr,National Strategic Plan [NSP] for TB Elimination 2017-25,7255
91,364,te,National Strategic Plan [NSP] for TB Elimination 2017-25,7257
111,365,en,National Health Mission [NHM],7309
111,365,mr,National Health Mission [NHM],7308
111,365,te,National Health Mission [NHM],7310
13,366,en,Organizational Structure of NTEP,7200
13,366,mr,Organizational Structure of NTEP,
13,366,te,Organizational Structure of NTEP,7201
39,367,en,"Planning, PIP and Finance Management",
103,368,en,Central TB Division [CTD],7559
102,369,en,National Institutes,5940
140,370,en,Roles of NRLs,6112
104,371,en,The State TB Cell,7262
104,371,mr,The State TB Cell,7261
104,371,te,The State TB Cell,7263
12,372,en,Stages in the life of a person with TB,5187
12,372,gu,Stages in TB Patient's Lifecycle,
12,372,hi,Stages in the life of a person with TB,5188
12,372,mr,Stages in TB Patient's Lifecycle,
12,372,ta,Stages in TB Patient's Lifecycle,5189
12,372,te,Stages in the lifecycle of a person with TB,5186
141,376,en,Roles of IRLs,
142,377,en,CDST labs and their role,7568
142,377,mr,CDST labs and their role,7569
142,377,te,CDST labs and their role,7570
105,378,en,District TB Centre [DTC],7286
105,378,mr,District TB Centre [DTC],7285
105,378,te,District TB Centre [DTC],7287
78,379,en,Functions of a Designated Microscopy Centres [DMC],7398
78,379,mr,Functions of a Designated Microscopy Centres [DMC],7397
78,379,te,Functions of a Designated Microscopy Centres [DMC],7399
380,381,en,Norms and requirements of a DMC,
490,382,en,Nucleic Acid Amplification Tests [NAAT],1306
2,383,en,TB Case Finding,3900
23,384,en,General process flow for testing in NTEP,2515
131,385,en,Continuum of TB Care,4469
33,387,en,TB Preventive Therapy,4765
51,388,en,Active Case Finding,7435
51,388,mr,Active Case Finding,7434
51,388,te,Active Case Finding,7436
53,389,en,Intensified Case Finding,7447
53,389,mr,Intensified Case Finding,7446
53,389,te,Intensified Case Finding,7448
146,390,en,Bidirectional Screening,7453
146,390,mr,Bidirectional Screening Approach,7452
146,390,te,Bidirectional Screening,7454
132,391,en,User roles managing patient data in Nikshay,4224
133,392,en,Patient and Process identifiers in Nikshay,6568
151,393,en,Role of STS at a DMC,5783
151,393,te,Role of STS at a DMC,5782
145,394,en,Principles of TB Diagnosis under NTEP,2638
137,397,en,Cartridge Based Nucleic Acid Amplification Test [CBNAAT],7358
137,397,mr,Cartridge Based Nucleic Acid Amplification Test [CBNAAT],7357
137,397,te,Cartridge Based Nucleic Acid Amplification Test [CBNAAT],7359
395,398,en,CBNAAT Xpert MTB/RIF Assay/Cartridge,3238
159,400,en,Spot and early morning sputum sample,3450
252,404,en,Eligibility for TPT,4766
178,407,en,Generating the DMC Laboratory Register from Nikshay,4767
279,450,en,Counselling for regular follow-up during the treatment,4358
284,453,en,Need to communicate results to patient,4118
457,458,en,CBNAAT Xpert MTB/RIF - Indications of use under NTEP,
460,461,en,The CBNAAT Cartridge,3867
57,464,en,TB Infection,7120
57,464,gu,TB Infection,
57,464,hi,TB Infection,7121
57,464,mr,TB Infection,
57,464,ta,TB Infection,7122
57,464,te,TB Infection,7123
61,466,en,TB Case classification in NTEP,7551
61,466,gu,TB Case classification in NTEP,
61,466,hi,TB Case classification in NTEP,7552
61,466,mr,TB Case classification in NTEP,
61,466,ta,TB Case classification in NTEP,7553
54,468,en,Screening For Tuberculosis Disease,7410
54,468,mr,Screening For Tuberculosis Disease,7409
54,468,te,Screening For Tuberculosis Disease,7411
470,471,en,Testing for TB diagnosis,7140
470,471,gu,Testing for TB diagnosis,
470,471,hi,Testing for TB diagnosis,7141
470,471,mr,Testing for TB diagnosis,
470,471,ta,Testing for TB diagnosis,7142
470,471,te,Testing for TB diagnosis,7143
469,472,en,TB Case diagnosis,
79,473,en,Nikshay,5932
79,473,gu,Nikshay,
79,473,hi,Nikshay,5933
79,473,mr,Nikshay,
79,473,ta,Nikshay,5934
79,473,te,Nikshay,5931
20,474,en,Screening and Diagnostic Technology in NTEP,6191
62,475,en,Microscopy,7355
62,475,mr,Microscopy,7354
62,475,te,Microscopy,7356
2187,476,en,Truenat MTB and RIF Assay as a TB Diagnostic Test,3551
477,478,en,Line Probe Assay [LPA],7364
477,478,mr,Line Probe Assay [LPA],7363
477,478,te,Line Probe Assay [LPA],7365
479,481,en,First Line LPA [FLLPA],1304
480,482,en,Second Line LPA [SLLPA],3872
483,484,en,LPA for DR-TB Diagnosis,1303
485,487,en,Solid and Liquid Culture in TB,7370
485,487,mr,Solid and Liquid Culture in TB,7369
485,487,te,Solid and Liquid Culture in TB,7371
486,488,en,Culture Drug Susceptibility Testing [CDST],7443
486,488,mr,Culture Drug Susceptibility Testing [CDST],7444
486,488,te,Culture Drug Susceptibility Testing [CDST],7445
99,489,en,Laboratory Hierarchy and Network,6439
99,489,mr,Laboratory Hierarchy and Network,
99,489,te,Laboratory Hierarchy and Network,6440
143,491,en,NAAT Labs and their role,7394
143,491,mr,NAAT Labs and their role,7393
143,491,te,NAAT Labs and their role,7395
58,492,en,Presumptive TB,5620
58,492,gu,Presumptive TB,
58,492,hi,Presumptive TB,5621
58,492,mr,Presumptive TB,
58,492,ta,Presumptive TB,5622
58,492,te,Presumptive TB,5623
17,493,en,Biological Specimen for Diagnosis of TB,4924
17,493,gu,Biological Specimen for Diagnosis of TB,
17,493,mr,Biological Specimen for Diagnosis of TB,
17,493,ta,Biological Specimen for Diagnosis of TB,4925
150,496,en,Role of STLS at a TDC,3411
508,509,en,Progression to TB Disease,6532
508,509,gu,Progression to TB Disease,
508,509,hi,Progression to TB Disease,6533
508,509,mr,Progression to TB Disease,
508,509,ta,Progression to TB Disease,6534
508,509,te,Progression to TB Disease,6531
510,511,en,TB Infection Vs Active TB Disease,6528
510,511,gu,TB Infection Vs Active TB Disease,
510,511,hi,TB Infection Vs Active TB Disease,6529
510,511,mr,TB Infection Vs Active TB Disease,
510,511,ta,TB Infection Vs Active TB Disease,6530
510,511,te,TB Infection Vs Active TB Disease,6527
512,514,en,Drug Sensitive Tuberculosis [DS-TB],1302
